"abrechnungsjahr";"areaSFH";"areaMFH"
2002;505,380952380945;88887,4642857125
2003;509,499999999993;89675,7499999984
2004;513,61904761904;90464,0357142841
2005;517,73809523809;91252,32142857
2006;521,857142857138;92040,6071428559
2007;525,976190476185;92828,8928571416
2008;530,095238095233;93617,1785714275
2009;534,214285714281;94405,4642857132
2010;535;95869
2011;538;96178
2012;542;96419
2013;561;96911
2014;567;97723
2015;559;99249
2016;558;100012
2017;562;101261
2018;571,285714285714;101500,035714286
