Charlottenburg-Wilmersdorf;Friedrichshain-Kreuzberg;Lichtenberg;Marzahn-Hellersdorf;Mitte;Neukölln;Pankow;Reinickendorf;Spandau;Steglitz-Zehlendorf;Tempelhof-Schöneberg;Treptow-Köpenick
10585;10243;10315;12619;10115;12043;10119;13047;13581;12157;10777;12435
10587;10245;10317;12621;10117;12045;10247;13403;13583;12161;10779;12437
10589;10247;10318;12623;10119;12047;10249;13405;13585;12163;10781;12439
10623;10249;10319;12627;10178;12049;10405;13409;13587;12165;10783;12487
10625;10961;10365;12629;10179;12051;10407;13435;13589;12167;10787;12489
10627;10963;10367;12679;10551;12053;10409;13437;13591;12169;10789;12524
10629;10965;10369;12681;10553;12055;10435;13439;13593;12203;10823;12526
10707;10967;10351;12683;10555;12057;10437;13465;13595;12205;10825;12527
10709;10969;13053;12685;10557;12059;10439;13467;13597;12207;10827;12559
10711;10997;13055;12687;10559;12347;13051;13469;13599;12209;10829;12587
10713;10999;13057;12689;10785;12349;13086;13503;13629;12247;12099;12589
10715; ;13059; ;13787;12351;13088;13505;14089;12249;12101; 
10717; ; ; ;13347;12353;13089;13507; ;14109;12103; 
10719; ; ; ;13349;12355;13125;13509; ;14129;12105; 
13627;  ; ; ;13351;12357;13127; ; ;14163;12107; 
14050; ; ; ;13353;12359;13129; ;  ;14165;12109; 
14052;  ;  ; ;13355; ;13156; ; ;14167;12157;  
14053; ; ; ;13357; ;13158; ; ;14169;12159; 
14055; ; ;  ;13359; ;13159; ; ;14193;12161; 
14057;  ; ; ;13407; ;13187; ;  ;14195;12169; 
14059; ; ; ;13409; ;13189; ; ; ;12277; 
14193; ; ; ; ; ; ; ; ; ;12279; 
14197;  ; ; ; ; ; ;  ; ; ;12305; 
14199; ; ; ; ; ; ; ; ; ;12307; 
; ; ; ; ;  ; ; ; ;  ;12309; 
