"erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr","total"
1237.69455054159,1237.09554951325,0,1496.30354150248,0,0,2002,3971.09364155733
1116.58040212085,1200.61040376339,0,2030.6467371368,0,0,2003,4347.83754302104
914.030228158869,1123.54254311006,0.238020609077243,2123.95161249287,0,0,2004,4161.76240437087
1079.56188469423,1012.9221934289,1.55372802425306,2238.60687174471,0.0303652287416562,0,2005,4332.67504312084
1201.49491119507,998.2889333404,4.16004477639819,2289.74707660739,0.0292984815110189,0,2006,4493.72026440077
1092.11671584318,1074.6270710131,0.204962134945843,1728.72893544707,0.0304414143133664,0,2007,3895.7081258526
1006.04489436384,1214.4553035968,4.88597369766186,1566.67814889884,0.559213792595251,9.71701115755691,2008,3802.34054550729
914.140981889441,1489.31883221519,11.7155834559721,1291.97243505488,0.428339204445743,6.77559712769287,2009,3714.35176894762
850.169482915549,1458.25780173917,4.26010147357021,1675.38423048302,1.18061161972846,28.9237401162166,2010,4018.17596834725
873.12196377088,1066.70369733951,3.9042870773452,2158.62839074466,0.783894134356526,6.94651413229938,2011,4110.08874719905
894.423403327061,1066.97227044962,10.7374018797272,2029.95149572152,1.19020133500277,14.116300975041,2012,4017.39107368797
906.990985359193,1014.02025079182,26.8905424435893,2079.3638950462,0.785909641884543,36.6625559562677,2013,4064.71413923895
834.582070832997,1168.23736248591,0,1013.35856116802,0,216.023867707071,2014,3232.201862194
900.844356310542,1242.59267081212,0,713.940010030016,0,26.3385955784205,2015,2883.7156327311
1059.92160492776,1375.5923118867,0,549.588239637828,0.780642441301577,19.0366270545306,2016,3004.91942594812
1071.47313416332,1156.49600181917,0,567.352129769337,0.941689875621302,65.4666607941532,2017,2861.7296164216
882.610161796224,1196.46546923516,5.58917270374609,852.710375565656,0.797383622971101,72.2455975156916,2018,3010.41816043945
