"abrechnungsjahr";"baujahr";"nutzflaeche";"SV"
2002;1949,33226837061;3444,3328913738;156,2353514377
2003;1946,74004051317;3175,80130317353;160,994118838623
2004;1947,65591397849;3075,28547192354;157,88866786141
2005;1945,84939236111;2843,04946614583;155,1887109375
2006;1944,31588209415;2942,15660800704;145,688543774747
2007;1945,32214452214;3138,39130536131;137,172708624709
2008;1946,70023310023;3579,51372494172;138,923571095571
2009;1947,95296025953;4386,09719383617;140,569635036496
2010;1944,69167717528;3624,56043505675;159,8594703657
2011;1945,96912280702;3196,80209122807;142,841614035088
2012;1946,04097116844;3367,62119119879;147,840971168437
2013;1946,99493670886;3124,79946835443;149,333126582278
2014;1948,59507829978;3694,94939597315;122,218881431767
2015;1944,78834951456;3065,10011650485;121,424291262136
2016;1942,19612068966;3730,10584051724;434,823685344828
2017;1943,20082389289;2661,55577754892;460,979227600412
2018;1919,65625;664,0875;956,641875
