Jahr;FM;SDK;NM;TMK
2002; 60,9   ; 105,5   ; 1,00   ; 6,78   
2003; 54,8   ; 135,6   ; 1,00   ; 5,92   
2004; 62,3   ; 118,2   ; 1,00   ; 7,21   
2005; 59,4   ; 124,2   ; 1,00   ; 6,42   
2006; 55,6   ; 103,9   ; 1,00   ; 5,39   
2007; 61,3   ; 122,9   ; 1,00   ; 7,43   
2008; 59,0   ; 110,6   ; 1,00   ; 6,82   
2009; 55,5   ; 122,2   ; 1,00   ; 7,34   
2010; 59,7   ; 95,8   ; 1,00   ; 4,52   
2011; 55,6   ; 143,8   ; 1,00   ; 7,26   
2012; 57,7   ; 119,3   ; 1,00   ; 6,41   
2013; 57,9   ; 86,9   ; 1,00   ; 5,73   
2014; 56,4   ; 109,3   ; 1,00   ; 8,06   
2015; 61,5   ; 116,2   ; 1,00   ; 7,13   
2016; 69,0   ; 96,6   ; 1,00   ; 5,55   
2017; 84,2   ; 105,8   ; 1,00   ; 6,79   
2018; 84,0   ; 118,6   ; 1,00   ; 6,40   
