"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
37991877,5022409;0;0;107598699,456167;0;0;2002
45626713,2974726;214453,922065382;0;102492870,251089;0;0;2003
46197396,0452193;728968,830630322;0;98062250,9562695;0;0;2004
51791235,7172217;668809,843540413;501958,61319233;89256517,2533116;0;157660,697962731;2005
49812633,9183117;252632,198361074;1915459,8858427;88217491,9297481;0;0;2006
43519193,3360275;305380,362311509;2567497,22840389;90750343,8549689;0;0;2007
49553453,6923575;454682,565174005;1460677,62502508;85052204,7282178;0;0;2008
31787098,9427007;785720,479442839;1775976,41301265;92648051,7762444;6819447,8321354;107712,083272532;2009
34077515,5746962;712580,454639787;1452864,72686318;93683988,3160434;4572636,96800345;2506787,83445187;2010
31008850,8497622;643486,51333103;1825502,42371341;88578627,3035467;5543379,9207903;1901852,17869581;2011
36778840,1173107;1892245,9905431;3259977,90665448;79751087,5448726;5614293,85394137;3375140,19423592;2012
48012478,3572087;3258422,66686476;2254873,9721761;72084085,868232;2361809,71826439;3567707,27282795;2013
46864610,7233494;1646745,92273266;3295875,88024679;59551964,1956199;5711296,82765331;4653462,96390729;2014
46416393,8462267;3168717,41732933;1893698,69422737;64363979,1184692;4851028,32078617;3937323,94943203;2015
37162486,0238252;1821975,23491902;2663018,98099441;70300340,8203835;12496454,6515564;2375419,74115768;2016
38248710,141064;1633214,39330734;3160777,56057732;70236108,6243606;7501686,00451825;7956037,84750248;2017
38418227,2704266;2317608,7711721;4121092,14538244;63569430,8289396;9486696,06841733;8890516,91065602;2018
