abrechnungsjahr;erdgas;fernwaerme;fluessiggas;heizoel;holzpellets;strom
2002;259;270;279;321;27;721
2003;258;270;278;321;27;711
2004;258;270;278;321;27;700
2005;257;270;277;320;27;690
2006;256;270;276;320;27;679
2007;256;270;275;320;27;669
2008;255;270;274;320;27;659
2009;254;270;273;320;27;648
2010;254;270;272;320;27;638
2011;253;270;271;320;27;627
2012;252;270;270;320;27;617
2013;252;270;269;320;27;607
2014;251;270;268;320;27;596
2015;250;270;267;320;27;586
2016;250;270;266;320;27;575
2017;249;270;266;320;27;565
2018;248;270;265;320;27;555
