Year;Zahl_SFH;Flaeche_SFH;Zahl_MFH;Flaeche_MFH
2002; 13270   ; 1828590   ; 5549   ; 2580565   
2003; 13363   ; 1844057   ; 5559   ; 2589870   
2004; 13489   ; 1864416   ; 5597   ; 2617947   
2005; 13597   ; 1882860   ; 5611   ; 2630320   
2006; 13700   ; 1901300   ; 5607   ; 2633741   
2007; 13808   ; 1920586   ; 5614   ; 2644747   
2008; 13841   ; 1926832   ; 5620   ; 2659865   
2009; 13886   ; 1935717   ; 5623   ; 2666740   
2010; 14257   ; 2031031   ; 5597   ; 2721233   
2011; 14365   ; 2051682   ; 5580   ; 2733644   
2012; 14426   ; 2063471   ; 5607   ; 2745996   
2013; 14488   ; 2075502   ; 5625   ; 2770454   
2014; 14619   ; 2100844   ; 5649   ; 2793908   
2015; 14720   ; 2119416   ; 5687   ; 2834013   
2016; 14815   ; 2139915   ; 5716   ; 2860302   
2017; 14897   ; 2156116   ; 5734   ; 2873963   
2018; 15053   ; 2189266   ; 5700   ; 2878640   
