"","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr","total"
"1",62.8906844675106,19.5533915870135,0,61.5561727169396,0,0,2002,144.000248771464
"2",88.6705477020871,5.11699499861646,0,81.2091853863027,0,0,2003,174.996728087006
"3",75.6444907811944,4.39732230076721,0,108.419119344844,0,0,2004,188.460932426806
"4",70.0861165986963,12.3234289924008,0.13198029148706,75.841551892022,0,0,2005,158.383077774606
"5",71.8394401135595,12.0164722414461,0.971551046971224,63.127369107927,0,0,2006,147.954832509904
"6",72.2973690016705,11.7884911600896,0.15396265903671,64.5087437408466,0,0,2007,148.748566561643
"7",61.2606789716399,18.5480585240568,0.606876858259515,47.4989654707405,0,0,2008,127.914579824697
"8",48.0925115460124,23.5148016451893,2.35828437522958,49.5400268613843,0,0,2009,123.505624427816
"9",33.3804165228994,23.9968987649297,1.66154436269583,57.3606026545078,0.0780851380582118,8.86449560142902,2010,125.34204304452
"10",27.2269936839812,31.7509987116788,3.23879023839748,39.0271032890889,0.0434411782566668,10.0685949326152,2011,111.355922034018
"11",22.0911922116579,33.6347076540145,1.39908239173615,30.0366045798672,0.042942051599078,7.6798313060484,2012,94.8843601949233
"12",21.2256227142348,34.2215333086193,0.394806980715185,46.9655196062674,0,2.89617870276775,2013,105.703661312604
"13",38.9745538812097,13.6163381963156,0,101.663178861298,0,11.1417990614922,2014,165.395870000316
"14",38.5783463433962,27.9518651110401,0.034130488047356,21.5415816557223,0.0137999017535737,0.837511278837579,2015,88.957234778797
"15",48.3759218508307,29.2784151148938,0.0356403044698919,14.4435162497306,0.00362438157795003,0,2016,92.137117901503
"16",59.8809809505741,23.9092648211827,0.307021401647493,10.0232674742894,0.0502622055776199,0.662852683716954,2017,94.8336495369882
"17",99.6087049587928,13.7876501377508,0,0,0,0,2018,113.396355096544
