"abrechnungsjahr","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom"
2002,0.336332678474022,0.531694329427732,0,0.131972992098246,0,0
2003,0.54785791178963,0.164679783091878,0,0.287462305118492,0,0
2004,0.461440903898252,0.121168648489185,0,0.417390447612563,0,0
2005,0.483333748412614,0.317936358299386,0,0.198729893288,0,0
2006,0.498339665720926,0.344927582729446,0,0.156732751549628,0,0
2007,0.491199175948553,0.287838526114935,0,0.220962297936512,0,0
2008,0.389026787464087,0.426780050496645,0,0.184193162039268,0,0
2009,0.247803568376774,0.611445653345478,0.0182010908511824,0.122549687426566,0,0
2010,0.142177797669045,0.699534703695174,0,0.134988782453508,0.0232987161822734,0
2011,0.122013596171978,0.791026464504025,0.0135311536847685,0.0646624132062608,0.0087663724329674,0
2012,0.0835358068993597,0.859922040984297,0,0.0565421521163435,0,0
2013,0.0181083838862357,0.860767947031897,0,0.121123669081867,0,0
2014,0.0724277289725484,0.496201296065411,0,0.431370974962041,0,0
2015,0.282064834494732,0.701035937148213,0,0.0168992283570542,0,0
2016,0.334377677195494,0.644849631665626,0,0.0207726911388799,0,0
2017,0.454297612763435,0.5133918919676,0,0.019452783849157,0.0114622888909458,0.00139542252886199
2018,0.727788833404601,0.272211166595399,0,0,0,0
