"erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","total"
0.474831018954625,0.281028004147443,0,0.244140976897932,0,0,1
0.555531934785364,0.0625171155788192,0,0.381950949635817,0,0,1
0.43791191843476,0.0430505291687874,0,0.519037552396452,0,0,1
0.560212365285565,0.137963219310512,0,0.301824415403923,0,0,1
0.598355315786565,0.155052643998954,0,0.246592040214481,0,0,1
0.552842068961071,0.121285792590924,0,0.325872138448005,0,0,1
0.492337345593257,0.202211074926134,0,0.305451579480609,0,0,1
0.376644981589371,0.347936544288161,0.0313439585915581,0.24407451553091,0,0,1
0.244441669242828,0.450267164043058,0,0.304107224075737,0.00118394263837707,0,1
0.235207800263044,0.570889506843467,0.0300675567256314,0.163335655570282,0.00049948059757635,0,1
0.174190144835459,0.671316842664641,0,0.1544930124999,0,0,1
0.0360681110300819,0.645047972609381,0,0.318883916360537,0,0,1
0.0867182527608426,0.224636891259064,0,0.688644855980094,0,0,1
0.495141196915847,0.465305229426027,0,0.0395535736581267,0,0,1
0.551870924705372,0.402416915864279,0,0.0457121594303493,0,0,1
0.669966565167252,0.286272226247364,0,0.0382501526523823,0.000504590672253615,0.00500646526074813,1
0.876099885587326,0.123900114412674,0,0,0,0,1
